experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,search_round,arch_pattern,wavelet_family,n_stacks_requested,meta_predicted_best,meta_convergence_score
search_r1,DB2_homog_s10_d16_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,10,1,True,0,42,25.939030,7.370613,1607.848755,6939991.000000,1.720985,1.823848,10.296385,8151040,8.98,2,False,False,ReLU,MAX_EPOCHS,29.47564316,29.47564316,35.65959167,1,1.000000,False,"[""33.08305740"", ""29.47564316""]",16,0,1,homogeneous,DB2WaveletV3,10,,
search_r1,DB2_homog_s20_d4_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,20,1,True,0,42,119.617271,51.802529,9156.554688,148991584.000000,10.177492,10.889093,295.460663,16158720,16.58,2,False,False,ReLU,MAX_EPOCHS,115.12495422,122.62935638,108.70467377,0,1.065185,False,"[""115.12495422"", ""122.62935638""]",4,0,1,homogeneous,DB2WaveletV3,20,,
search_r1,DB2_homog_s20_d8_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,20,1,True,0,42,70.004898,15.426471,3129.148682,23170740.000000,4.082796,3.063289,22.867680,16220160,16.24,2,False,False,ReLU,MAX_EPOCHS,74.61729431,74.61729431,74.23635864,1,1.000000,False,"[""91.05712128"", ""74.61729431""]",8,0,1,homogeneous,DB2WaveletV3,20,,
search_r1,DB2_homog_s20_d16_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,20,1,True,0,42,40.971489,11.901034,2351.621582,12505403.000000,2.750926,2.451581,16.424244,16302080,16.71,2,False,False,ReLU,MAX_EPOCHS,41.25459671,41.25459671,63.29170609,1,1.000000,False,"[""70.07973480"", ""41.25459671""]",16,0,1,homogeneous,DB2WaveletV3,20,,
search_r1,DB2_homog_s30_d4_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,87.542404,20.798433,3984.752197,35787556.000000,5.295262,4.246181,44.555088,24238080,25.49,2,False,False,ReLU,MAX_EPOCHS,90.51921844,90.51921844,91.12096405,1,1.000000,False,"[""104.57683563"", ""90.51921844""]",4,0,1,homogeneous,DB2WaveletV3,30,,
search_r1,DB2_homog_s30_d8_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,65.563942,23.268453,4211.771973,47573580.000000,4.933581,5.104680,99.500969,24330240,25.26,2,False,False,ReLU,MAX_EPOCHS,64.20201874,64.20201874,107.96599579,1,1.000000,False,"[""129.31263733"", ""64.20201874""]",8,0,1,homogeneous,DB2WaveletV3,30,,
search_r1,DB2_homog_s30_d16_o0,search_round1,['DB2WaveletV3'],Yearly,1,6,30,30,1,True,0,42,43.547077,17.760916,3159.719971,24645598.000000,3.567007,3.911000,54.107479,24453120,25.87,2,False,False,ReLU,MAX_EPOCHS,41.52770615,45.66011047,40.72342682,0,1.099510,False,"[""41.52770615"", ""45.66011047""]",16,0,1,homogeneous,DB2WaveletV3,30,,
search_r1,DB2_trmix_s10_d4_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,27.866972,8.076182,1664.518066,7256149.500000,1.868746,1.997089,12.749888,5072665,7.41,2,False,False,ReLU,MAX_EPOCHS,27.62291908,27.62291908,22.29402733,1,1.000000,False,"[""38.60885239"", ""27.62291908""]",4,0,1,trend_mixed,DB2WaveletV3,10,,
search_r1,DB2_trmix_s10_d8_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,24.903292,6.848262,1474.316162,6166731.000000,1.623575,1.707070,9.093612,5088025,6.03,2,False,False,ReLU,MAX_EPOCHS,25.63435364,25.63435364,20.79049873,1,1.000000,False,"[""35.34162140"", ""25.63435364""]",8,0,1,trend_mixed,DB2WaveletV3,10,,
search_r1,DB2_trmix_s10_d16_o0,search_round1,"['Trend', 'DB2WaveletV3']",Yearly,1,6,30,10,1,True,0,42,25.602161,6.972473,1520.297974,6683720.500000,1.660585,1.770839,10.031923,5108505,6.61,2,False,False,ReLU,MAX_EPOCHS,26.49584770,26.49584770,20.46770668,1,1.000000,False,"[""38.30863953"", ""26.49584770""]",16,0,1,trend_mixed,DB2WaveletV3,10,,
