experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,GenericAE_ld16_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,1,43,16.074694,3.926552,970.370300,3694826.750000,0.985852,0.915107,2.735078,1664160,256,5.31,8,forecast,False,ReLU,MAX_EPOCHS,18.00682449,18.00682449,13.12008953,7,1.000000,False,"[""36.11973572"", ""30.52599716"", ""25.44551277"", ""25.74557304"", ""21.81010246"", ""20.02812195"", ""20.04732323"", ""18.00682449""]",1,GenericAE,16,5
ae_pure_r1,GenericAE_ld16_td5_agF,ae_pure_round1,['GenericAE'],Yearly,1,6,30,10,1,True,2,44,19.066099,5.118541,1141.492798,4282491.500000,1.227350,1.291345,5.123962,1664160,256,5.34,8,forecast,False,ReLU,MAX_EPOCHS,19.58909035,19.58909035,13.63402176,7,1.000000,False,"[""38.43165207"", ""29.67622757"", ""26.76346397"", ""45.00984955"", ""23.64459991"", ""21.46763611"", ""20.70165825"", ""19.58909035""]",1,GenericAE,16,5
ae_pure_r1,BottleneckGenericAE_ld2_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,25.689129,6.867123,1518.628418,6413905.500000,1.649991,1.420142,4.846871,1424490,256,5.41,8,False,False,ReLU,MAX_EPOCHS,28.34902954,28.34902954,25.95702744,7,1.000000,False,"[""135.99789429"", ""117.58840179"", ""90.39478302"", ""79.66035461"", ""56.20005798"", ""56.07234192"", ""39.01448441"", ""28.34902954""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,22.388309,6.131805,1349.137817,5609666.000000,1.456483,1.502622,6.882655,1424490,256,5.34,8,False,False,ReLU,MAX_EPOCHS,24.19236374,24.19236374,17.13404846,7,1.000000,False,"[""122.91693115"", ""92.57078552"", ""70.86368561"", ""37.58304596"", ""34.66516876"", ""30.11971664"", ""28.20622635"", ""24.19236374""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td3_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,30.051847,8.200377,1739.150879,7750749.000000,1.951220,1.806383,8.259063,1424490,256,5.42,8,False,False,ReLU,MAX_EPOCHS,33.80070114,33.80070114,32.70624161,7,1.000000,False,"[""123.11746979"", ""95.52518463"", ""83.99200439"", ""61.62502670"", ""66.48336792"", ""57.10858154"", ""51.82259750"", ""33.80070114""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td3_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,20.567421,5.740943,1231.997681,4854793.000000,1.351594,1.434567,7.134609,1424490,256,5.34,8,forecast,False,ReLU,MAX_EPOCHS,21.12992477,21.12992477,15.97007084,7,1.000000,False,"[""68.84852600"", ""39.97220993"", ""32.52666855"", ""28.27022362"", ""32.30884933"", ""25.98605728"", ""22.58939934"", ""21.12992477""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td3_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,19.895021,5.219689,1186.856812,4680739.000000,1.265438,1.258234,5.020136,1424490,256,5.34,8,forecast,False,ReLU,MAX_EPOCHS,21.42182350,21.42182350,16.03987885,7,1.000000,False,"[""50.85241318"", ""34.31620407"", ""34.82108688"", ""30.12833214"", ""29.30038643"", ""24.47601318"", ""22.46263885"", ""21.42182350""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td3_agF,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,20.885464,5.818678,1265.022095,4915267.500000,1.371105,1.471373,7.063012,1424490,256,5.41,8,forecast,False,ReLU,MAX_EPOCHS,21.12426567,21.78107262,16.13283348,6,1.031093,False,"[""74.31752777"", ""44.47633743"", ""33.76019669"", ""25.18824005"", ""29.79143143"", ""25.37204361"", ""21.12426567"", ""21.78107262""]",1,BottleneckGenericAE,2,3
ae_pure_r1,BottleneckGenericAE_ld2_td5_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,0,42,20.792467,5.467111,1239.282227,4839714.500000,1.324027,1.323902,5.307278,1435470,256,5.34,8,False,False,ReLU,MAX_EPOCHS,23.71851540,23.81965446,17.13295555,6,1.004264,False,"[""92.78203583"", ""64.29879761"", ""53.51754379"", ""29.75946999"", ""31.58315277"", ""26.10004044"", ""23.71851540"", ""23.81965446""]",1,BottleneckGenericAE,2,5
ae_pure_r1,BottleneckGenericAE_ld2_td5_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,1,43,19.661444,5.110395,1171.824219,4482476.000000,1.244541,1.179249,4.034961,1435470,256,5.44,8,False,False,ReLU,MAX_EPOCHS,21.66431046,21.66431046,15.86543751,7,1.000000,False,"[""77.46340942"", ""48.65792465"", ""31.67533875"", ""35.63358688"", ""29.35374260"", ""25.53624916"", ""22.66700745"", ""21.66431046""]",1,BottleneckGenericAE,2,5
ae_pure_r1,BottleneckGenericAE_ld2_td5_ag0,ae_pure_round1,['BottleneckGenericAE'],Yearly,1,6,30,10,1,True,2,44,20.015453,5.261813,1197.402954,4801168.500000,1.274423,1.262975,5.145387,1435470,256,5.31,8,False,False,ReLU,MAX_EPOCHS,21.86100197,21.86100197,15.94101334,7,1.000000,False,"[""95.90202332"", ""36.95629501"", ""29.93932533"", ""33.87213898"", ""35.96919632"", ""28.79647255"", ""22.92014313"", ""21.86100197""]",1,BottleneckGenericAE,2,5
