experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,latent_dim_cfg,thetas_dim_cfg
ae_pure_r1,BottleneckGenericAE_ld8_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,68.433899,1.651739,23.802656,3274.953125,nan,0.660183,1.348941,1917600,256,77.78,8,forecast,False,ReLU,MAX_EPOCHS,46.49363327,46.49363327,57.14387131,7,1.000000,False,"[""57.13195801"", ""50.76143646"", ""49.64350891"", ""48.74818420"", ""48.12528610"", ""47.14334488"", ""46.59790039"", ""46.49363327""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,69.419655,2.012481,26.002083,3820.681152,nan,0.756472,1.910273,1886820,256,79.18,8,forecast,False,ReLU,MAX_EPOCHS,47.94608688,47.94608688,58.51653671,7,1.000000,False,"[""55.90296555"", ""50.43804169"", ""50.22873688"", ""49.57225800"", ""49.54595947"", ""49.12902451"", ""48.84992218"", ""47.94608688""]",1,BottleneckGenericAE,2,8
ae_pure_r1,BottleneckGenericAE_ld8_td8_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,68.650780,1.535952,23.033819,3319.967529,nan,0.604132,1.023935,1917600,256,78.33,8,forecast,False,ReLU,MAX_EPOCHS,45.97103882,45.97103882,56.92882538,7,1.000000,False,"[""59.18431854"", ""50.85255432"", ""48.64530182"", ""48.41303635"", ""46.87320328"", ""46.43704987"", ""46.53661346"", ""45.97103882""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,72.047493,3.799676,40.357883,29910.900391,nan,1.588220,150.297821,1902840,256,78.89,8,False,False,ReLU,MAX_EPOCHS,53.23616409,53.23616409,63.78656769,7,1.000000,False,"[""87.13459015"", ""71.14849854"", ""60.61312103"", ""57.90062714"", ""56.29255295"", ""55.47907257"", ""55.26493073"", ""53.23616409""]",1,BottleneckGenericAE,2,10
ae_pure_r1,BottleneckGenericAE_ld8_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,71.828827,2.991743,31.944744,8432.708984,nan,1.227807,28.755161,1917600,256,77.50,8,False,False,ReLU,MAX_EPOCHS,50.48837662,50.48837662,60.79278564,7,1.000000,False,"[""99.78576660"", ""88.66736603"", ""78.74951935"", ""66.27310181"", ""61.87226486"", ""56.15343094"", ""53.04622650"", ""50.48837662""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,71.867195,3.679668,39.219727,27316.232422,nan,1.522055,134.699585,1902840,256,80.34,8,False,False,ReLU,MAX_EPOCHS,52.68486786,52.68486786,63.11837006,7,1.000000,False,"[""91.16104889"", ""78.43582916"", ""67.15282440"", ""58.13047028"", ""55.65409088"", ""54.16610718"", ""53.03297043"", ""52.68486786""]",1,BottleneckGenericAE,2,10
ae_pure_r1,BottleneckGenericAE_ld8_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,1,43,73.831955,3.292643,34.304401,16328.413086,nan,1.405137,74.692360,1917600,256,79.61,8,False,False,ReLU,MAX_EPOCHS,54.23210526,54.23210526,63.52012253,7,1.000000,False,"[""89.01840210"", ""75.26534271"", ""69.95299530"", ""62.17274094"", ""58.24650955"", ""56.49003983"", ""55.80131912"", ""54.23210526""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td10_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,69.695168,2.342010,29.100672,8252.370117,nan,0.924375,25.317257,1902840,256,78.72,8,False,False,ReLU,MAX_EPOCHS,50.04216385,50.04216385,60.43696976,7,1.000000,False,"[""91.07821655"", ""76.19670868"", ""67.45087433"", ""62.96451569"", ""57.30793381"", ""55.75568390"", ""51.96280670"", ""50.04216385""]",1,BottleneckGenericAE,2,10
ae_pure_r1,BottleneckGenericAE_ld8_td8_ag0,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,2,44,75.723648,4.272364,42.461105,27810.271484,nan,1.853423,140.041534,1917600,256,78.45,8,False,False,ReLU,MAX_EPOCHS,56.34866333,56.34866333,65.85812378,7,1.000000,False,"[""89.40621948"", ""78.92904663"", ""70.29928589"", ""65.81651306"", ""64.21258545"", ""62.31755447"", ""58.73351288"", ""56.34866333""]",1,BottleneckGenericAE,8,8
ae_pure_r1,BottleneckGenericAE_ld2_td10_agF,ae_pure_round1,['BottleneckGenericAE'],Weather-96,144,96,192,10,1,True,0,42,67.191574,1.507881,23.816311,3382.377441,nan,0.578498,1.096443,1902840,256,80.11,8,forecast,False,ReLU,MAX_EPOCHS,45.87576294,45.87576294,57.86998749,7,1.000000,False,"[""53.30168533"", ""51.39614105"", ""49.85331726"", ""48.85734940"", ""47.80838776"", ""47.44109344"", ""46.71365738"", ""45.87576294""]",1,BottleneckGenericAE,2,10
