model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-16x8x1_Freq-24x12x1,weather,720,3600,3,1,1,2,0.397783,0.411143,7489.044922,27.385332,97.119942,7157760,712.59,26,EARLY_STOPPED,0.7527833,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[24, 12, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,720,3600,3,1,0,1,0.434268,0.418315,7555.165527,27.18545,98.066521,7848960,806.31,29,EARLY_STOPPED,0.76331097,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-16x8x1_Freq-1x1x1,weather,720,3600,3,1,1,2,0.401056,0.404721,7121.421387,26.226055,93.67527,7848960,1311.16,61,EARLY_STOPPED,0.75082153,MSELoss,False,True,0.7,0.1,True,['Generic'],"[16, 8, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,96,480,3,1,0,1,0.180311,0.236039,2368.121582,15.463439,67.870483,3277312,670.67,26,EARLY_STOPPED,0.43342617,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,96,480,3,1,1,2,0.179153,0.234437,2175.15918,14.360211,64.00248,3277312,671.31,26,EARLY_STOPPED,0.42930168,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,96,480,3,1,0,1,0.190996,0.241201,2303.421387,14.687585,66.139587,3280896,698.21,26,EARLY_STOPPED,0.43784148,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,96,480,3,1,1,2,0.182816,0.237476,2347.616699,14.829483,67.697929,3280896,697.47,26,EARLY_STOPPED,0.44687328,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,96,480,3,1,0,1,0.183878,0.239459,2259.746338,15.729925,68.041504,3373056,671.3,26,EARLY_STOPPED,0.44128942,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,96,480,3,1,1,2,0.178588,0.236928,2336.323486,15.613896,68.048782,3373056,670.62,26,EARLY_STOPPED,0.42571142,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,96,480,3,1,0,1,0.176837,0.231014,2182.580078,14.390417,65.26741,3400192,683.58,26,EARLY_STOPPED,0.41952536,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,96,480,3,1,1,2,0.182194,0.236177,2229.982178,14.403275,63.426781,3400192,682.59,26,EARLY_STOPPED,0.4295547,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,96,480,3,1,0,1,0.178719,0.232724,2162.737061,14.610811,65.888046,3403776,686.27,26,EARLY_STOPPED,0.42918095,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,96,480,3,1,1,2,0.177284,0.235484,2258.079346,14.749521,66.551537,3403776,685.43,26,EARLY_STOPPED,0.43094805,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,96,480,3,1,0,1,0.177442,0.235135,2270.292236,14.638504,67.377335,3495936,669.25,26,EARLY_STOPPED,0.42770407,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
