model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample,sampling_style,steps_per_epoch,sampling_weights
NHiTSSliding,NHiTS-TrendAE+GenericAE+Coif2WaveletV3AE,weather,96,480,3,1,1,2,0.161972,0.220321,2248.830322,15.089776,64.249649,1019187,83.70,6,MAX_EPOCHS,0.40442947,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'GenericAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+GenericAE+Coif2WaveletV3AE,weather,96,480,3,1,2,3,0.167699,0.228790,2409.836182,15.703818,67.157051,1019187,79.52,6,MAX_EPOCHS,0.41339070,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'GenericAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+GenericAE+Coif2WaveletV3AE,weather,96,480,3,1,3,4,0.164738,0.222126,2460.905762,15.675015,64.509857,1019187,80.27,6,MAX_EPOCHS,0.41369444,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'GenericAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+GenericAE+Coif2WaveletV3AE,weather,96,480,3,1,4,5,0.164210,0.223654,2232.677734,15.379310,67.768478,1019187,84.77,6,MAX_EPOCHS,0.40951627,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'GenericAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+GenericAE,weather,96,480,3,1,0,1,0.166963,0.231734,2419.652832,16.640100,69.990089,1019187,83.39,6,MAX_EPOCHS,0.40998331,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'GenericAE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+GenericAE,weather,96,480,3,1,1,2,0.167646,0.229398,2512.075195,16.139269,66.482666,1019187,82.54,6,MAX_EPOCHS,0.40679434,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'GenericAE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+GenericAE,weather,96,480,3,1,2,3,0.167971,0.229564,2613.345215,16.232233,66.608414,1019187,81.22,6,MAX_EPOCHS,0.41069451,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'GenericAE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+GenericAE,weather,96,480,3,1,3,4,0.167562,0.227635,2449.295654,16.187737,68.148895,1019187,84.81,6,MAX_EPOCHS,0.41336286,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'GenericAE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+GenericAE,weather,96,480,3,1,4,5,0.163131,0.220938,2247.194092,15.116442,66.465500,1019187,85.42,6,MAX_EPOCHS,0.40194604,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE', 'GenericAE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+Coif2WaveletV3AE,weather,96,480,3,1,0,1,0.160453,0.215941,2244.140625,14.727849,62.930805,822579,84.68,6,MAX_EPOCHS,0.40761009,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+Coif2WaveletV3AE,weather,96,480,3,1,1,2,0.164376,0.223214,2205.236816,15.062413,66.610893,822579,84.53,6,MAX_EPOCHS,0.40736806,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+Coif2WaveletV3AE,weather,96,480,3,1,2,3,0.168892,0.232258,2363.519531,15.270774,68.643997,822579,82.05,6,MAX_EPOCHS,0.41118443,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+Coif2WaveletV3AE,weather,96,480,3,1,3,4,0.163152,0.221809,2304.091064,15.125126,65.391586,822579,82.50,6,MAX_EPOCHS,0.40896595,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+Coif2WaveletV3AE+Coif2WaveletV3AE,weather,96,480,3,1,4,5,0.165746,0.225298,2346.710938,15.573898,67.523666,822579,84.76,6,MAX_EPOCHS,0.40586871,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'Coif2WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+DB3V3AE+TrendAE,weather,96,480,3,1,0,1,0.165063,0.224635,2291.639404,15.029593,66.951233,560694,85.62,6,MAX_EPOCHS,0.40900859,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'DB3WaveletV3AE']",,,sliding,,uniform
NHiTSSliding,NHiTS-TrendAE+DB3V3AE+TrendAE,weather,96,480,3,1,1,2,0.162052,0.223319,2257.812500,15.178983,65.978287,560694,83.51,6,MAX_EPOCHS,0.40396705,MSELoss,False,True,0.7,0.1,True,"['TrendAE', 'DB3WaveletV3AE']",,,sliding,,uniform
